id,nom,est_dangereux,diametre_min_km,diametre_max_km,vitesse_km_h,distance_manquee_km
2226514,226514 (2003 UX34),True,0.2469192656,0.5521282628,59576.3798861135,18491516.10423837
2438017,438017 (2003 YO3),False,0.5206609142,1.1642331974,54996.3055018069,12136326.303555183
2481442,481442 (2006 WO3),False,0.1283970296,0.2871044863,77935.954023887,58239736.59965244
3485806,(2010 AL60),False,0.0925880583,0.2070331923,32361.4464638662,9414482.23419549
3723888,(2015 NU2),True,0.1748054532,0.3908768761,68881.0703726326,73466998.51753892
3771633,(2017 FZ2),False,0.0127219879,0.0284472297,27485.3820705561,43675472.560049035
3792462,(2017 YD),False,0.0211132445,0.0472106499,17691.4977576082,10536583.499046208
3837883,(2019 AO12),False,0.0201629919,0.0450858206,87401.5535619302,72072116.41250834
3842657,(2019 KJ4),False,0.0088014652,0.0196806745,34290.1468082932,49392413.894222796
3704144,(2015 AC246),False,0.0555334912,0.1241766613,21823.557432531,52820770.79549223
3781585,(2017 SK2),False,0.0608912622,0.1361570015,19273.0559039038,66024505.62198272
3785681,(2017 TU1),False,0.0152951935,0.0342010925,53321.9785063697,67762561.05205293
3843671,(2019 QY4),False,0.0080270317,0.0179489885,65537.9276345136,52117749.5629085
3989263,(2020 BP11),False,0.0116025908,0.0259441818,56764.4031185162,35406461.06684568
3740934,(2016 BD15),True,0.1529519353,0.3420109247,93383.3700688104,71450808.49855644
3753595,(2016 KO),False,0.0133215567,0.0297879063,55311.8444706586,63031190.87562886
3989144,(2020 BC6),True,0.1797028549,0.4018277992,79858.6540488112,3683381.686023033
3879137,(2019 TK6),False,0.0788052183,0.1762138252,37661.9172929179,40607718.03326146
3553148,(2010 XB11),False,0.3065878759,0.6855513317,68182.206577871,19016653.471642926
3645041,(2013 NC15),False,0.0992098919,0.2218400624,43417.7895268897,25616443.389347907
3647191,(2013 RT9),False,0.0133215567,0.0297879063,16233.9842106775,36530806.76349979
3837864,(2019 AS11),False,0.0116025908,0.0259441818,42708.3804730289,48375536.34533886
3843735,(2019 QL7),False,0.0124324001,0.0277996916,30891.5107520968,58599408.62498077
2459462,459462 (2013 AY52),False,0.2783267681,0.6223575734,62720.0394634552,15830336.753684059
3648769,(2013 TK4),False,0.0425162524,0.0950692305,64471.3074111931,53240801.671820946
3656933,(2014 BM25),False,0.0063760979,0.0142573883,55213.8976234976,42733613.705436125
3703792,(2015 BF),False,0.0127219879,0.0284472297,92433.5572978271,72149352.40152915
